전자정보통신 약어정리

 	(‘*’표는 통신에 주로 사용되는 약어임)
NFSR 	National Foundation for Scientific Research (Belgium)
NFU 	Negotiate release Function Unit
NG 	New Generation
NH 	Network Header, 네트워크 헤더
NHK 	Nippon Hoso Kyokai, 일본 방송 협회
NHRP 	Next Hop Resolution Protocol
NI 	Node Isolation, 노드 격리
NI 	Noninhibit Interrupts
NI 	Numerical Index
Ni-H 	Nickel-Hydride Battery, 니켈 수소 전지
NIAM 	Netherlands Institute for Audiovisual Media
NIB 	Network Interface Block (IMT-2000)
NIB 	Noninterference Basis
NIC 	Network Independent Clock
NIC 	Network Information Center, 네트워크 정보 센터
NIC 	Network Interface Card, 네트워크 인터페이스 카드
NIC 	Network Interface Component, 망 인터페이스 구성 요소
NIC 	Not In Contact
NICB 	National Industrial Conference Board
NICE 	NELIAC Implementers Council and Exchange
NICOL 	Nineteen-hundres/Commerical Language
NIDA 	Numerically Integrated Differenctial Analyzer
NIES 	Newly Industrializing Economies, 니즈, 신흥 공업 경제군
NIF 	Network Interface Function (IMT-2000)
NII 	National Information Infrastructure, 미국 정보 기반
NIM 	Network Interface Module, 네트워크 인터페이스 모듈
NiMH 	Nickel-Metal Hybride
NIP 	NAREC Interpretive Programminh System
NIP 	New Information Paradigms
NIP 	Nucleus Initialization Program
NIPO 	Negative Input - Postive Output
NIPTS 	Noise induced permanent threshold shift, 소음성난청
NIQM 	Non Intra Quantizer Matrix, 비인트라 MB용의 양자화 매트릭스 (MPEG)
NIS 	Network Information service, 네트워크 정보 서비스
NIS 	No Input Signal
NISARC 	National Information Storage And Retrieval Centers
NISDN 	Narrowband Integrated Services Digital Network, 협대역 종합 정보 통신망
NISDN 	Narrowband ISDN, 협대역 ISDN
NIST 	National Institute of Standards and Technology, 미국립 표준 기술연구소
NIT 	One Nit equals 1.44 bits
NIU 	Network Interface Unit
NJ 	Negative Justification
NJCC 	National Joint Computer Committee (superseded by AFIPS)
NKN 	New Korean Net, 새빛 망, 뉴코리아 네트
NL 	New Line character, 복귀 개행 문자
NL 	New-Line character, 복귀 개행 문자
NLL 	Natural Language Learning, 자연언어 학습 (음성)
NLM 	NetWare Loadable Module
NLM 	Network Loadable Module
NLPI 	Network Layer Protocol Identifier
NLPID 	Network Level Protocol
NLR 	Noise Load Ratio
NLS 	No-Load Speed
NLS 	oN Line System, 엔엘에스, 온라인 시스템
NLSP 	NetWare Link Services Protocol
NM 	Not Measured
NM Forum 	Network Management Forum
NMA 	National Management Association
NMA 	National Microfilm Association
NMAA 	National Machine Accountants Association (now DPMA)
NMC 	Network Management Center, 망 관리 센터*
NMCS 	National Military Command System
NMCSSC 	National Military Command System Support Center
NME 	Noise-Measuring Equipment
NMEA 	Network Maintenance Equipment Adapter, 망관리 부가장치
NMF 	Network Management Forum, 네크워크 매니지먼트 포럼
NMI 	Network Node Interface, 네크워크 노드 인터페이스
NMI 	No Modulator Input
NMI 	Non Maskable Interrupt, 마스크 불가능 인터럽트
NMI 	Non-Maskable Interrupt, 마스크 불가능 인터럽트
NMOS 	N-Channel Metal-Oxide Semiconductor
NMP 	Name Management Protocol
NMPS 	Nautical Miles Per Second
NMR 	Non-linear Multivariate Regression, 비선형 회귀 분석법 (음성)
NMR 	Normal Mode Rejection
NMRS 	New Mobile Radio System
NMS 	Network Management Station
NMS 	Network Management System, 망관리 시스템, 네트워크 관리 시스템
NMS 	Networked Multimedia System, 통신망 멀티미디어 시스템
NMT 	Network ManagemenT, 망관리
NMT 	Nordic Mobile Telephone
NMT 	Nordic Mobile Telephone network
NMVT 	Network management Vector Transport, 네트워크 관리 벡터 전달
NN 	Network Node, 네트워크 노드
NN 	Neural Network, 신경망
NNI 	Network Network Interface, 네트워크간의 인터페이스*, 네트워크 네트워크 인터페이스
NNI 	Network Node Interface, 망 노드 접면, 네트워크 노드 인터페이스
NNI 	Network-Node Interface, 망-노드 인터페이스
NNIS 	Navy Navigation Satellite system
NNSS 	Navy Navigation Satellite System
NNTP 	Network News Transport Protocol, 네트워크 뉴스 전송 규약
NO 	Normal Connection
NO 	Normal Open
NO 	Normal Open, 노멀 오픈
NO-OP 	do-NOthing OPeration
NOC 	Network Operations Center, 네트워크 오퍼레이션 센터
NOC 	Normalized Office Code, 정규화 국번호
NOC 	Notice Of Change
NOCC 	Network Operation and Control Center
NOCC 	Network Operation Control Center
NOD 	News on Demand, 주문형 뉴스
NOF 	NCR Optical Font
NOHP 	Not Otherwise Herein Provided
NOIBN 	Not Otherwise Indexed By Name
NOL 	Naval Ordnance Laboratory
NOMA 	National Office Management Association
NOMIS 	Naval Ordnance Systems Command
NOMS 	Network Operations Management System
NOP 	No OPeration, 무작동, 노 오퍼레이션
NOPAC 	Network On-line Public Access Control
NOR 	Negative OR, 부정 논리합, 부정합
NOR 	Not OR Function
NORAC 	No Radio Contacts
NORAD 	North American Air Defense Command
NORC 	Naval Ordnance Research Computer
NORMA 	NO Remote Access Memory
NOS 	Network Operating System, 네트워크 운영 체제, 네트워크 오퍼레이팅 시스템, 망운영 체제
NOS 	No Output Signal
NOSC 	Naval Ordnance Systems Command
NOSPER 	Nouveau Systeme Foundamental pour la Determination des Eauivqlente de Reference, 통화 당량 기준 장치
NOTS 	Naval Ordnance Test Station
NP 	Net Proceeds
NP 	Node Processor
NPC 	Network Parameter Control, 네트워크 변수제어, 망 파라메터 제어
NPCS 	Narrowband PCS
NPDU 	Network Protocol Data Unit, 망 프로토콜 데이터부
NPEF 	New Product Evaluation Form
NPI 	Null Pointer Indication
NPM 	Non-linear Prediction Model, 비선형 예측 모델 (음성)
NPN 	Neural Prediction Network (음성)
NPS 	Non-linear Prediction Synthesis, 비선형 예측 합성 (음성)
NPT 	Non Packet mode Terminal, 비패킷형 단말, 일반 단말*
NPT 	NonPacket mode Terminal, 비패킷형 단말, 일반 단말
NQ 	Node Quarantine
NQLED 	Node Quarantine LED
NQOS 	Nonuniformly Quantized Output Sample
NQS 	Network Queuing System, 네트워크 큐잉 시스템
NR 	Noise Ration
NR 	Not Required
NRACF 	Non-call Related radio Access Control Function
NRC 	National Research Council
NRECA 	National Rural Electric Cooperative Association
NREN 	National Research and Education Network, 국가 연구?교육 네트워크, 전미국 연구 교육 네트워크
NRFD 	Not-Ready For State
NRM 	Normal Response Mode, 정규 응답 모드
NRMA 	National Retail Merchants Association
NRS 	Non-Recursive System, 비회귀형 시스템
NRT 	Non-Ringing Trunk, 비호출 신호 중계선
NRTSC 	Naval Reconnaissance and Technical Support Center
NRZ 	Non Return to Zero, 비영(非零) 복귀
NRZ 	Non-Return to-Zero recording
NRZ 	Non-Return-to-Zero, 비영(非零) 복귀
NRZC 	Non-Return to Zero Change
NRZI 	Non Return to Zero Inverted, 역 비영(非零) 복귀
NRZI 	Non-Return-to-Zero Inverted, 역 비영(非零) 복귀
NRZL 	Non-Return to Zero Level
NRZM 	Non-Return to Zero Mark
NS 	Nano Second, 나노초
NS 	Network Service, 네트워크 서비스
NS 	Next Station
NS 	Noise Sequence, 노이즈 시퀀스
Ns 	Number of Image Components in Scan, 스캔을 구성하는 컴포넌트 수
NS 	Numeric Service, 숫자 호출 방식
NSA 	National Security Agency
NSA 	Netherlands Society for Automation
NSAP 	Network Service Access Point, 네트워크 서비스 액세스 포인트
NSC 	National Simulation Council
NSC 	Network Simulcasting Control
NSC 	No Service Channel
NSC 	Noise Suppression Circuit
NSCA 	National Center for Supercomputing Applications
NSCS 	Network and Simulcast Control Subsystem
NSCS 	Non-liner Satellite Channel Simulator
NSDU 	Network Service Data Unit, 네트워크 서비스 데이터 단위
NSEIP 	Norwegian Society for Electronic Information Processing
NSF 	National Science Foundation, 국립 과학 재단 (미국)
NSFnet 	NET National Science Foundation Network, 전미국 과학 재단 네트워크
NSI 	NASA Science Internet
NSI 	Nonstandard Item
NSL 	National Science Library
NSP 	Name Service Protocol
NSP 	National Signaling Processing
NSP 	Native Signal Processing, 자연 신호 처리
NSP 	Network Service Processor, 네트워크 서비스 프로세서
NSP 	Network Service Protocol, 네크워크 서비스 프로토콜
NSP 	Nonstandard Part approval
NSPA 	National Society of Public Accountants
NSPE 	National Society of Professional Engineers
NSPI 	National Society for Programmed Instruction
NSR 	No Signal Received
NSS 	Non-linear Spectral Subtraction, 비선형 스펙트럼 차감법 (음성)
NSS 	Non-Spread Spectrum
NSSDU 	Normal Session Service Data Unit, 보통 데이터 세션 서비스 데이터 단위
NSSDU 	Normal SSDU, 보통 데이터 SSDU
NSTA 	National Science Teachers Association
NSTL 	National Software Testing Laboratories
NSTN 	Next STN, 차상태번호
NSV 	Nonautomatic Self-Verification
NT 	Network Termination, 망 종단 장치
NT 	No Token
NT 	No Transmission
NT 	Not Tested
NT 	Numbering Transmitter
NT-1 	Network Terminator
NT1 	Network Termination 1
NTA 	Not Timing Acquired
NTC 	National Telemetering Conference
NTDC 	Naval Training Device Center
NTDS 	Naval Tactical Data System
NTFS 	NaTive File System
NTFS 	NT file system
NTG 	Nachrichtentechnische Gesellschaft (German communications society)
NTHK 	N/T H/W block
NTI 	Noise Transmission Impairment
NTIA 	National Telecommunications and Information Administration
NTIMIT 	Network TIMIT (음성)
NTIS 	National Technical Information Service
NTL 	NonThreshold Logic, 비임계값 논리
NTLED 	No Trunk LED
NTM 	Network Traffic Management
NTMS 	National Traffic Management System
NTP 	Number Translation Processor, 번호 번역 프로세서*
NTS 	New Topic Shift, 새로운 화제로의 이동 (음성)
NTS 	Not To Scale
NTS 	Number Translation Subsystem
NTSC 	National Television Standards Committee, 미국 텔레비전 표준 위원회
NTSC 	National Television System Committee, 미국 텔레비전시스템위원회, 국영 TV 위원회
NTT 	Nippon Telephone and Telegraph (일본)
NTV 	Nippon Television Network, 일본 텔레비전 방송망
NUCE 	National Institute of Ceramic Engineers
NUL 	NULl character, 널 문자, 공문자
NUL 	Null, 공백, 널, 공문자
NUM 	Number
NUM 	Numerator
NUM 	Numeric
NUMA 	NonUniform Memory Access
NUR 	Not Used Recently
NURBS 	NonUniform Rational B-Spline
NUT 	Number Unobtainable Tone
NUU 	Non Uniform Unit - v, 불균일 단위 (음성)
NVOD 	Near Video on Demand, 유사 주문형 비디오
NVP 	Network Voice Protocol
NVRAM 	Non-Volatile RAM
NWH 	Normal Working Hours
NWICO 	New World Information & Communication Order, 신세계 정보 통신 질서
NWN 	Nation Wireless Network
NYAP 	New York Assembly Program
NYSE 	New York Stock Exchange
NYSE-VAB 	New York Stock Exchange Voice Answer Back
O 	OOOOOOOOOOOO ㅐㅐㅐㅐㅐㅐㅐㅐ
O&M 	Organization & Methods
O(n)DP 	N-State DP (음성)
O-D 	Octal-to-Decimal
O-D 	Output Data
O-D 	Outside Diameter
O-H 	Octal-to-Hexadecimal
O/F 	Optical Fiber
O/S TEST 	Open/Short Test
OA 	Office Automation, 사무 자동화, 오피스 자동화
OAM 	Operation And Maintenance, 운용 및 유지 보수*
OAM 	Operation And Management
OAM 	Operation, Administration and Maintenance (IMT-2000)
OAM&P 	Operation Administration Maintenance & Provisioning
OAM&P 	Operation Administration Maintenance and Provisioning
OAO 	Orbiting Astronomical Observatory
OARAC 	Office of Air Research Automatic Computer
OAS 	Optional Area Service
OASYS 	Order Allocation System
OAU 	Office Alarm Unit
OB 	Obsolete
OB 	Octal-to-Binary
OB 	Output Buffer
OBAM 	OBject-Action Manager
OBE 	Office By Example
OBE 	Office procedures by example
OBE 	Out of Band Emission
OBEX 	OBject EXchange
OBF 	Output Buffer Full
OBN 	Out of Band Noise
OC 	Occurs
OC 	On Call
OC 	Open-Circuit
OC 	Operand fetch Cycle
OC 	Operating Characteristics
OC 	Operational Computer
OC 	Optical Coupler
OC 	Origination Call, 발신호
OC 	Outlet Contact
OC 	Output Control, 출력 제어*
OC 	Overhead Control, 과부하 제어
OC-m 	Optical Carrier Level m, m-레벨 광 반송 신호
OC-n 	Optical Carrier Level n, n-레벨 광 반송 신호
OCAL 	On-lone Cryptanalytic Aid Language
OCAS 	On-line Cryptanalytic Aid System
OCC 	Operational Control Center, 운용 관리국
OCC 	Operations Control Command
OCC 	Other Common Carrier
OCL 	Operators Control Language
OCMP 	Open Computing Environment for MIPS Platform, 밉스 플랫폼을 위한 개방형 컴퓨터 환경
OCO 	Open-Close-Open contact
OCP 	Output Control Pulses
OCR 	Office Configuration Regenerator, 카드 제너레이터
OCR 	Optical Character Reader, 광학식 문자 판독기
OCR 	Optical Character Recognition
OCR-B 	Optical Character Recognition-font B
OCRUA 	Optical Character Recognition Users Association
OCS 	Operand Cycle Start
OCS 	Originating Call Screening
OCS 	Originating Dependent Routing
OCU 	Office Channel Unit, 국내 회선 종단 장치
OCX 	Ole Custom Controls
OCXO 	Oversized Crystal Oscillator
OD 	Office Data, 국 데이터
ODA 	Operational Data Analysis
ODA 	Operational Design and Analysis
ODA/ODIF 	Office Document Architecture/Office Document Interchange Format, 사무 문서 체계?사무 문서 교환 서식
ODB 	Open DataBase
ODBC 	Open DataBase Connectivity, 개방형 데이터 베이스 연결성
ODBMS 	Object DataBase Management System, 오브젝트 데이터 베이스 관리 시스템
ODD 	Operator Distance Dialing
ODF 	Optical Distribution Frame
ODG 	Operational Design Group
ODI 	Open Data-link Interface, 개방형 데이터링크 인터페이스
ODI 	Open Datalink Interface, 개방형 데이터링크 인터페이스
ODIF 	Office Document Interchange Format, 사무 문서 교환 방식
ODL 	Object Description Language
ODMG 	Object Database Management Group, 오브젝트 데이터베이스 관리 그룹
ODP 	Open distributed Processing, 개방형 분산 처리
ODP 	Original Document Processing
ODS 	Output Data Strobe
ODSB 	OMC Data Send Block, 운용보전 데이터 전송부
ODT 	Octal Debugging Technique
ODU 	Output Display Unit
OE 	Office of Education
OE 	Output Enable
OEIC 	Opto-Electronic Integrated Circuit, 광전자 집적 회로
OEM 	Original Equipment Manufacturer, 주문자 상표 부착, 주문자 생산 방식
OEMI 	Office Equipment Manufacturers Institute
OEN 	Output Enable
OEO 	Office of Economic Opportunity
OEP 	Operand Execution Pipeline
OETC 	Optoelectronic Technology Consortium, 광전자 기술 컨소시엄
OF 	Operational Fixed
OF 	Optical Fiber
OFA 	Off-net Access
OFDM 	Optical Frequency Division Multiplexing, 광주파수 분할 다중화
OFDM 	Orthogonal Frequency Division Multiplex, 직교 주파수 분할 다중
OFDM 	Orthogonal Frequency Division Multiplexing, 직교 주파수분할 다중화
OFS 	Object File System
OGI 	Oregon Graduate Institute (미국)
OGN 	Office Condition Regenerator
OGN 	Office data Generator
OH 	Off Hock
OHD 	Overhead information
OHD 	Overhead Message
OHP 	OverHead Projector, 직가(투사) 환등기
OHR 	Over the Horizon Radar
OI 	Offset Indicator field
OIC 	Officer In Charge
OIRT 	Organization Internationale de Radio-diffusion et de Television, (프) 국제 방송 텔레비전 기구
OIS 	Office Information System
OIU 	Office Interface Unit
OJT 	On the Job Training, 현장 학습
OJT 	On-the-Job Training, 현장 학습
OL 	On-Line
OL 	Open Loop
OL 	Operations/Logistics
OL 	Overlap
OLAP 	On-Line Analytical Processing
OLC 	On-Line Computer
OLC 	Outgoing Line Circuit
OLC 	OverLoad Class
OLE 	Object Linking and Embedding, 올레
OLERT 	On-Line Executive for Real Time
OLHMIS 	On-Line Hospital Management Information System
OLJA 	Optic Link Jig board Assembly, BER 장비 인터페이스 PBA
OLM 	On-Line Monitor
OLPARS 	On-Line Pattern Analysis And Recognition System
OLPS 	On-Line Programming System
OLQ 	On-Line Query
OLRT 	On Line Real Time, 온라인 실시간 처리
OLRT 	On Line-Real Time, 온라인 실시간 처리
OLRT 	OnLine Real Time processing, 온라인 실시간 처리
OLSC 	On-Line Scientific Computer
OLSS 	On-Line Software System
OLTEP 	On-Line Test Executive Program (IBM system/360)
OLTP 	On-Line Transaction-Processing system
OLTP 	OnLine Transaction Processing, 온라인 트랜잭션 처리
OLTS 	OnLine Test System, 온라인 테스트 시스템, 온라인 검사 시스템
OLU 	Optical Line Unit
OLVWM 	Open Look Virtual Window Manager
OM 	Object Module, 오브젝트 모듈
OM 	Operations Maintenance
OM 	Other Markers, 기타 마커
OM 	Overhead Message, 오버헤드 메시지
OM-1 	Open MPEG
OMA 	Object Management architecture, 오브젝트 관리 구조
OMAP 	Operation and Maintenance Application Part, 운영 및 유지 보수 응용부
OMAP 	Operation Maintenance and Administration Part
OMAT 	Office of Manpower Automation and Training (labor dept.)
OMC 	Operation and Maintenance Center, 운용국
OMC 	Operation Maintenance Center, 집중운용 보전센터, 운영 보수 센터, 운용 보전 센터
OMCR 	Operation and Maintenance Center for Radio
OMCS 	Operation and Maintenance Center for Switching
